Codes;Names;Borough;Population;Hectares;Square Kilometres;Population per hectare;Population per square kilometre;;Census population (2011);Population per hectare
E05000262;Sands End;Hammersmith and Fulham;10,905;137.7;1.4;79.2;7,919;;12,760;92.7
E05000263;Shepherd's Bush Green;Hammersmith and Fulham;15,320;106.7;1.1;143.6;14,358;;12,175;114.1
E05000264;Town;Hammersmith and Fulham;15,346;65;0.7;236.1;23,609;;11,201;172.3
E05000265;Wormholt and White City;Hammersmith and Fulham;11,261;90.4;0.9;124.6;12,457;;13,389;148.1
E05000266;Alexandra;Haringey;13,588;261.3;2.6;52.0;5,200;;11,795;45.1
E05000267;Bounds Green;Haringey;12,677;138.4;1.4;91.6;9,160;;13,725;99.2
E05000268;Bruce Grove;Haringey;15,047;93.1;0.9;161.6;16,162;;14,483;155.6
E05000269;Crouch End;Haringey;15,452;144;1.4;107.3;10,731;;12,395;86.1
E05000270;Fortis Green;Haringey;13,737;199.4;2.0;68.9;6,889;;12,488;62.6
E05000271;Harringay;Haringey;13,941;156.2;1.6;89.3;8,925;;13,272;85.0
E05000272;Highgate;Haringey;15,158;249.9;2.5;60.7;6,066;;11,632;46.5
E05000273;Hornsey;Haringey;13,049;105.5;1.1;123.7;12,369;;12,659;120.0
E05000274;Muswell Hill;Haringey;13,830;165.2;1.7;83.7;8,372;;10,784;65.3
E05000275;Noel Park;Haringey;12,647;123;1.2;102.8;10,282;;13,939;113.3
E05000276;Northumberland Park;Haringey;18,025;188.3;1.9;95.7;9,572;;14,429;76.6
E05000277;St. Ann's;Haringey;18,722;109.7;1.1;170.7;17,067;;14,638;133.4
E05000278;Seven Sisters;Haringey;16,128;129.2;1.3;124.8;12,483;;15,968;123.6
E05000279;Stroud Green;Haringey;18,693;109.5;1.1;170.7;17,071;;11,758;107.4
E05000280;Tottenham Green;Haringey;12,615;136.1;1.4;92.7;9,269;;14,580;107.1
E05000281;Tottenham Hale;Haringey;18,147;191.1;1.9;95.0;9,496;;15,064;78.8
E05000282;West Green;Haringey;21,205;139.8;1.4;151.7;15,168;;13,372;95.7
E05000283;White Hart Lane;Haringey;14,718;169.7;1.7;86.7;8,673;;13,431;79.1
E05000284;Woodside;Haringey;13,341;149.2;1.5;89.4;8,942;;14,514;97.3
E05000285;Belmont;Harrow;16,373;177.9;1.8;92.0;9,203;;11,343;63.8
E05000286;Canons;Harrow;11,685;563.1;5.6;20.8;2,075;;12,471;22.1
E05000287;Edgware;Harrow;15,535;140.1;1.4;110.9;11,089;;11,653;83.2
E05000288;Greenhill;Harrow;13,872;174.7;1.7;79.4;7,940;;12,420;71.1
E05000289;Harrow on the Hill;Harrow;18,445;357.5;3.6;51.6;5,159;;12,270;34.3
E05000290;Harrow Weald;Harrow;13,354;458.9;4.6;29.1;2,910;;11,376;24.8
E05000291;Hatch End;Harrow;11,968;328.1;3.3;36.5;3,648;;10,693;32.6
E05000292;Headstone North;Harrow;11,183;329.5;3.3;33.9;3,394;;10,093;30.6
E05000293;Headstone South;Harrow;11,630;146.2;1.5;79.5;7,955;;11,135;76.2
E05000294;Kenton East;Harrow;12,345;128.1;1.3;96.4;9,637;;11,138;86.9
E05000295;Kenton West;Harrow;11,119;176.5;1.8;63.0;6,300;;11,173;63.3
E05000296;Marlborough;Harrow;11,778;164.6;1.6;71.6;7,156;;12,259;74.5
E05000297;Pinner;Harrow;15,142;327;3.3;46.3;4,631;;10,026;30.7
E05000298;Pinner South;Harrow;10,488;235.3;2.4;44.6;4,457;;10,411;44.2
E05000299;Queensbury;Harrow;11,144;161.3;1.6;69.1;6,909;;11,984;74.3
E05000300;Rayners Lane;Harrow;12,527;153;1.5;81.9;8,188;;11,124;72.7
E05000301;Roxbourne;Harrow;11,690;150.6;1.5;77.6;7,762;;12,828;85.2
E05000302;Roxeth;Harrow;13,316;157.6;1.6;84.5;8,449;;11,663;74.0
E05000303;Stanmore Park;Harrow;11,752;445.6;4.5;26.4;2,637;;11,229;25.2
E05000304;Wealdstone;Harrow;12,405;119.3;1.2;104.0;10,398;;11,394;95.5
E05000305;West Harrow;Harrow;13,005;152.1;1.5;85.5;8,550;;10,373;68.2
E05000306;Brooklands;Havering;11,067;420.1;4.2;26.3;2,634;;14,957;35.6
E05000307;Cranham;Havering;20,545;655.6;6.6;31.3;3,134;;12,528;19.1
E05000308;Elm Park;Havering;13,377;366.7;3.7;36.5;3,648;;12,466;34.0
E05000309;Emerson Park;Havering;14,013;463.9;4.6;30.2;3,021;;11,977;25.8
E05000310;Gooshays;Havering;12,494;776.1;7.8;16.1;1,610;;14,692;18.9
E05000311;Hacton;Havering;16,715;246.1;2.5;67.9;6,792;;12,262;49.8
E05000312;Harold Wood;Havering;13,239;759.6;7.6;17.4;1,743;;12,650;16.7
E05000313;Havering Park;Havering;15,588;978.8;9.8;15.9;1,593;;13,000;13.3
E05000314;Heaton;Havering;13,758;341.5;3.4;40.3;4,029;;12,570;36.8
E05000315;Hylands;Havering;14,371;290.2;2.9;49.5;4,952;;12,952;44.6
E05000316;Mawneys;Havering;13,719;304.9;3.0;45.0;4,500;;12,915;42.4
E05000317;Pettits;Havering;13,791;395.3;4.0;34.9;3,489;;12,955;32.8
E05000318;Rainham and Wennington;Havering;13,909;1690;16.9;8.2;823;;12,482;7.4
E05000319;Romford Town;Havering;13,387;286.6;2.9;46.7;4,671;;15,921;55.6
E05000320;St. Andrew's;Havering;20,726;268.7;2.7;77.1;7,713;;13,334;49.6
E05000321;South Hornchurch;Havering;14,462;684.7;6.8;21.1;2,112;;13,544;19.8
E05000322;Squirrel's Heath;Havering;18,679;264.6;2.6;70.6;7,059;;13,194;49.9
