barrier,geometry,dog,leisure,wheelchair,building,nodes,name,description,operator,source,area,surface,website,landuse,access
,"POLYGON ((-0.0121588 51.509027, -0.012283 51.5090103, -0.0122344 51.5089522, -0.012175 51.5089696, -0.0121588 51.509027))",,dog_park,,,"[662564167, 7424942760, 7370227686, 7370017482, 662564167]",,,,,,,,,
,"POLYGON ((-0.0251575 51.5100479, -0.0248043 51.5100245, -0.0246646 51.5100162, -0.024716 51.50985, -0.0249672 51.5098729, -0.0251575 51.5100479))",,dog_park,,,"[7418621850, 7418640416, 7418621845, 7418621848, 7418621847, 7418621850]",Birchfield Dog Walking Area 1,,,,,,,,
,"POLYGON ((0.0140646 51.5242062, 0.0144593 51.5243269, 0.0143875 51.5243637, 0.0143125 51.524429, 0.0142684 51.5244981, 0.0142384 51.5246067, 0.0138437 51.524486, 0.0140646 51.5242062))",,dog_park,,,"[7431429354, 7431429358, 7485021638, 7485021637, 7485021639, 7431429344, 7431429348, 7431429354]",,,,,,,,,
,"POLYGON ((-0.0273458 51.4965024, -0.0274036 51.4964698, -0.0273025 51.4963272, -0.0274014 51.4961858, -0.0259498 51.4963407, -0.0259173 51.4966967, -0.0259985 51.4966989, -0.02615 51.4965002, -0.0264657 51.496362, -0.026646 51.4963227, -0.0269526 51.4963463, -0.0271637 51.4964058, -0.0273458 51.4965024))",,dog_park,,,"[7724847304, 7724847300, 7724847305, 7724847297, 7724847301, 7724847306, 7724847298, 7724847302, 7724847307, 7724847299, 7724847303, 7724847308, 7724847304]",Dog Park,,,,,,,,
,"POLYGON ((-0.2814964 51.5597091, -0.2813755 51.5597091, -0.2814603 51.5594156, -0.2815635 51.5594626, -0.2814964 51.5597091))",,dog_park,,,"[7951383018, 7951383019, 7951383020, 7951383021, 7951383018]",,,,,,,,,
,"POLYGON ((-0.112119 51.492158, -0.1121084 51.4921954, -0.1120779 51.4922284, -0.1120312 51.4922528, -0.1119739 51.492266, -0.1119193 51.4922667, -0.1118668 51.492257, -0.1118217 51.4922378, -0.1117882 51.4922109, -0.1117696 51.4921789, -0.1117676 51.4921448, -0.1117825 51.4921121, -0.1118128 51.4920837, -0.1118556 51.4920625, -0.1119131 51.4920497, -0.1119741 51.4920499, -0.1120314 51.4920631, -0.112078 51.4920876, -0.1121084 51.4921205, -0.112119 51.492158))",,dog_park,,,"[8685737564, 8685737565, 8685737566, 8685737567, 8685737549, 8685737550, 8685737551, 8685737552, 8685737553, 8685737554, 8685737561, 8685737562, 8685737563, 8685737555, 8685737556, 8685737557, 8685737558, 8685737559, 8685737560, 8685737564]",,,,,,,,,
,"POLYGON ((-0.0412022 51.5158477, -0.0408672 51.515823, -0.0409517 51.5158848, -0.0415367 51.5163126, -0.0417038 51.5162338, -0.0412022 51.5158477))",,dog_park,yes,,"[8690786768, 8690786772, 8690786776, 8690786777, 8690786771, 8690786768]",,,,,,,,,
,"POLYGON ((-0.0480425 51.5171691, -0.0480339 51.5169233, -0.0483105 51.5169262, -0.0482987 51.5171785, -0.0480425 51.5171691))",,dog_park,yes,,"[8872651103, 8872651104, 8872651105, 8872651106, 8872651103]",Stepney Green Dog Exercise Area,,,,,,,,
,"POLYGON ((-0.0175094 51.5113535, -0.0174088 51.5113597, -0.0173907 51.5112146, -0.0174974 51.5112065, -0.0175042 51.5112901, -0.0175094 51.5113535))",yes,dog_park,,,"[9004897491, 9004897490, 9004897489, 9004897492, 9131677645, 9004897491]",,,,,,,,,yes
,"POLYGON ((-0.147064 51.4805075, -0.1470039 51.4805334, -0.1469577 51.4805377, -0.1468892 51.4805334, -0.1468183 51.4805175, -0.1467652 51.4804926, -0.1467282 51.4804633, -0.1466265 51.4803655, -0.1467567 51.4802925, -0.1467615 51.4802966, -0.1467826 51.4802857, -0.1469985 51.4804402, -0.1470814 51.4804991, -0.147064 51.4805075))",,dog_park,,,"[9055351880, 9055351881, 9055351882, 9055351883, 9055351884, 9055351885, 9055351886, 9055351887, 9055351888, 9055351889, 9055351890, 9055351891, 9055351892, 9055351880]",,,,,,,,,
,"POLYGON ((-0.1467436 51.4802619, -0.1466035 51.4803392, -0.1463467 51.4801016, -0.1464198 51.4800556, -0.1464271 51.4800602, -0.1464473 51.4800485, -0.1467436 51.4802619))",,dog_park,,,"[9055351893, 9055351894, 9055351895, 9055351896, 9055351897, 9055351898, 9055351893]",,,,,,,,,
,"POLYGON ((-0.1467896 51.4798546, -0.1466484 51.4799311, -0.1462256 51.4796355, -0.1462815 51.4796064, -0.1467896 51.4798546))",,dog_park,,,"[9055351899, 9055351900, 9055351901, 9055351902, 9055351899]",,,,,,,,,
,"POLYGON ((-0.1346412 51.4863401, -0.1346367 51.4863311, -0.134415 51.4858873, -0.1337807 51.4860026, -0.1339686 51.486448, -0.1339719 51.4864558, -0.1346412 51.4863401))",,dog_park,,,"[259574132, 9337038759, 9337038761, 9337038762, 9337038760, 259574133, 259574132]",St George's Square Dog Park,,,,,,,,
,"POLYGON ((-0.1323826 51.5447884, -0.1327556 51.5445265, -0.1323331 51.5442928, -0.131954 51.5445643, -0.1323826 51.5447884))",yes,dog_park,,,"[9379460623, 9379460624, 9379460625, 9379460626, 9379460623]","Camden Square park, dog area",,,,,,,,
,"POLYGON ((-0.1337262 51.5465148, -0.1336645 51.5466065, -0.1340068 51.5469185, -0.1341178 51.5469451, -0.1337262 51.5465148))",,dog_park,yes,,"[9389420508, 9389420509, 9389420510, 9389420511, 9389420508]",Dog run,,,,,,,,
,"POLYGON ((-0.154945 51.5612932, -0.1548227 51.5613962, -0.1547842 51.5614037, -0.1547322 51.5613862, -0.1546895 51.5613402, -0.1547969 51.5612904, -0.1548139 51.5612832, -0.1548458 51.5612368, -0.154945 51.5612932))",,dog_park,no,,"[9596824901, 9596824902, 9596824903, 9596824904, 9596824905, 9596824906, 9596824907, 9596824908, 9596824901]",The Dog Pond,,,,,,,,
,"POLYGON ((-0.015894 51.5142263, -0.0158858 51.5141726, -0.0160743 51.51413, -0.0161589 51.5141665, -0.0159455 51.5142147, -0.015894 51.5142263))",yes,dog_park,,,"[10047839057, 10047839056, 10047839055, 255881451, 10047847616, 10047839057]",,,,,,,,,
