,geo_code,Names,Borough,Population,Hectares,Square Kilometres,Population per hectare,pop_density,Unnamed: 8,Census population (2011),Population per hectare.1
592,E05000617,Latchmere,Wandsworth,16571,108.5,1.1,152.7,15273.0,,15358,141.5
593,E05000618,Nightingale,Wandsworth,16100,123.1,1.2,130.8,13079.0,,14679,119.2
594,E05000619,Northcote,Wandsworth,15131,167.9,1.7,90.1,9012.0,,14940,89.0
595,E05000620,Queenstown,Wandsworth,16313,320.8,3.2,50.9,5085.0,,16331,50.9
596,E05000621,Roehampton,Wandsworth,28298,442.4,4.4,64.0,6396.0,,16132,36.5
597,E05000622,St. Mary's Park,Wandsworth,16395,139.6,1.4,117.4,11744.0,,16556,118.6
598,E05000623,Shaftesbury,Wandsworth,20365,94.8,0.9,214.8,21482.0,,14160,149.4
599,E05000624,Southfields,Wandsworth,14589,152.2,1.5,95.9,9585.0,,16256,106.8
600,E05000625,Thamesfield,Wandsworth,18199,192.1,1.9,94.7,9474.0,,14842,77.3
601,E05000626,Tooting,Wandsworth,18207,160.4,1.6,113.5,11351.0,,16239,101.2
602,E05000627,Wandsworth Common,Wandsworth,17411,276.0,2.8,63.1,6308.0,,15247,55.2
603,E05000628,West Hill,Wandsworth,15870,168.8,1.7,94.0,9402.0,,16402,97.2
604,E05000629,West Putney,Wandsworth,16969,184.6,1.8,91.9,9192.0,,14742,79.9
605,E05000630,Abbey Road,Westminster,15561,109.5,1.1,142.1,14211.0,,11250,102.7
606,E05000631,Bayswater,Westminster,13431,51.8,0.5,259.3,25929.0,,10300,198.8
607,E05000632,Bryanston and Dorset Square,Westminster,11757,72.3,0.7,162.6,16261.0,,11991,165.9
608,E05000633,Churchill,Westminster,14219,60.9,0.6,233.5,23348.0,,9618,157.9
609,E05000634,Church Street,Westminster,12755,44.4,0.4,287.3,28727.0,,11760,264.9
610,E05000635,Harrow Road,Westminster,14182,49.5,0.5,286.5,28651.0,,12034,243.1
611,E05000636,Hyde Park,Westminster,13855,95.9,1.0,144.5,14447.0,,12462,129.9
612,E05000637,Knightsbridge and Belgravia,Westminster,16529,359.3,3.6,46.0,4600.0,,9270,25.8
613,E05000638,Lancaster Gate,Westminster,10308,63.0,0.6,163.6,16362.0,,13195,209.4
614,E05000639,Little Venice,Westminster,15379,63.6,0.6,241.8,24181.0,,10633,167.2
615,E05000640,Maida Vale,Westminster,13173,64.6,0.6,203.9,20392.0,,10210,158.0
616,E05000641,Marylebone High Street,Westminster,11992,100.1,1.0,119.8,11980.0,,10366,103.6
617,E05000642,Queen's Park,Westminster,12670,58.3,0.6,217.3,21732.0,,12563,215.5
618,E05000643,Regent's Park,Westminster,13938,225.6,2.3,61.8,6178.0,,12067,53.5
619,E05000644,St. James's,Westminster,13738,346.8,3.5,39.6,3961.0,,10828,31.2
620,E05000645,Tachbrook,Westminster,15903,44.4,0.4,358.2,35818.0,,8158,183.7
621,E05000646,Vincent Square,Westminster,9359,68.6,0.7,136.4,13643.0,,9988,145.6
622,E05000647,Warwick,Westminster,12785,57.4,0.6,222.7,22274.0,,9369,163.2
623,E05000648,Westbourne,Westminster,10737,67.4,0.7,159.3,15930.0,,12759,189.3
624,E05000649,West End,Westminster,14417,199.6,2.0,72.2,7223.0,,10575,53.0
625,E12000007,London,London,13749,159471.9,1594.7,0.1,9.0,,8173941,51.3
